OBJECTID,DepartmentCode,KGISVillageID,KGISWardID,KGISCode,KGISPOL_STAID,POL_STAName,KGISPSCode,latitude,longitude
167,164432203,15711,,29572055428031620000HMPOLPUOFFPOS0057,142,Puttenahalli PS,PS - 142,12.9024027782159,77.5819750000366
168,164431379,15717,,29572055428031620000HMPOLPUOFFPOS0058,143,Subramanyapura PS,PS - 143,12.901203319357,77.5443170617634
169,164431347,15713,,29572055428031620000HMPOLPUOFFPOS0059,144,Thalaghattapura PS,PS - 144,12.8690240001717,77.5362860003164
170,164431365,30092,,29572055428031620000HMPOLPUOFFPOS0060,145,V.V. Puram PS,PS - 145,12.9596195803045,77.5722658495622
171,164431797,15698,,29572055428031620000HMPOLPUOFFPOS0061,146,Channammanakere Achu Kattu PS,PS - 146,12.9301162396181,77.560604590239
172,164431367,15099,,29572055428031620000HMPOLPUOFFPOS0062,147,Kempegowda Nagar PS,PS - 147,12.9491600000604,77.5631800000979
173,164431368,15688,,29572055428031620000HMPOLPUOFFPOS0063,148,Girinagar PS,PS - 148,12.9360000002911,77.5438999998846
174,164432193,15549,,29572055428031620000HMPOLPUOFFPOS0064,149,Bandepalya PS,PS - 149,12.9056000003551,77.6415333333942
175,164432188,15488,,29572055428031620000HMPOLPUOFFPOS0078,164,Annapoorneshwari Nagar PS,PS - 164,12.9764945003794,77.5127363002522
176,164431418,15084,,29572055428031620000HMPOLPUOFFPOS0079,165,Byatarayanapura PS,PS - 165,12.9513964930184,77.5401247181361
177,164431420,15116,,29572055428031620000HMPOLPUOFFPOS0080,166,Chandra Layout PS,PS - 166,12.9588991588048,77.5283954172681
178,164431421,15081,,29572055428031620000HMPOLPUOFFPOS0081,167,Jagajeevanram Nagar PS,PS - 167,12.964081607397,77.5550759389811
179,164431422,15486,,29572055428031620000HMPOLPUOFFPOS0082,168,Jnanabharathi PS,PS - 168,12.9505529290118,77.5002666799548
